year,harvested area [ha],yield [kg/ha]
1969,3238650,1507.6569249532984
1970,2503500,1300.1940683043738
1971,2741350,1276.7413683039379
1972,2936500,1793.6157159884217
1973,2358600,1608.6640061901128
1974,2362000,1456.4963772226927
1975,2947000,1459.1173396674585
1976,3528000,1700.6999858276645
1977,2210000,1357.4706515837104
1978,2840000,1795.7825176056338
1979,2789000,1649.3737468626748
1980,3024000,1670.9547354497354
1981,3660800,1393.2000655594406
1982,4432000,2208.9021141696753
1983,4420000,1911.7596312217195
1984,3854000,2361.2113310845875
1985,3510000,1633.868678062678
1986,3252000,1891.2726937269372
1987,2893000,1807.8006463878328
1988,2830000,1872.7770530035336
1989,3200000,2093.80959375
1990,3322700,1986.3802329430885
1991,2662200,2146.7686875516492
1992,2532300,2381.093077439482
1993,2642950,2141.1619705253597
1994,3025910,2362.5631925602547
1995,3007600,2133.254721372523
1996,4358510,2472.071978726675
1997,3609550,2954.375127093405
1998,3230330,2327.1815263456056
1999,3601540,2429.7923471626027
2000,3526020,2794.357754635538
2001,3437400,2517.758442427416
2002,3139350,2176.6449806488604
2003,3130272,2885.658639568702
2004,3303425,2972.074008037113
2005,2795550,2665.3420092647243
2006,2981325,3025.420271188146
2007,2830767,2709.749076487044
2008,2405960,2290.5127911519726
2009,1986860,2915.353094833053
2010,2282985,4044.447985860617
2011,2200830,3879.2530568012976
2012,1183884,3095.643195617138
2013,1638005,3429.2521634549344
2014,2092455,3091.1194051962884
2015,1405915,3527.124181760633
2016,2115990,3567.299736766242
2017,1969969,3863.618387395944
2018,2258598,3992.6030789897095
2019,2410907,3239.4752821241136
2020,2734339,3832.920554108324
2021,2539045,3815.456878472024
