year,harvested area [ha],yield [kg/ha],yield trend [kg/ha],yield anomaly [%]
1993,4709700,2034.7636855850692,2135.105698271065,-0.04699627412696687
1994,5112320,2188.9129221175513,2145.6318276319435,0.02017172467719012
1995,4783950,1949.8943864379853,2168.164792795127,-0.10067057959914327
1996,6869210,2266.9173340165753,2171.704947280661,0.04384222951425148
1997,5550865,2622.780514388298,2232.224981965046,0.17496244132141314
1998,5224230,2308.8536683874945,2322.4556183726963,-0.005856710404968889
1999,5851950,2508.1926656926325,2365.1332817518123,0.06048681697754415
2000,6003325,2549.0297626731854,2443.532905954402,0.043173904661446806
2001,6195570,2269.8752221345253,2483.553031576739,-0.0860371438521511
2002,5284870,2091.4331497274293,2498.867057366311,-0.163047452419617
2003,5015597,2681.9260062162093,2472.8108517060755,0.08456577031189355
2004,5476881,2765.908993458138,2530.597335779792,0.092986606107303
2005,4427825,2654.207660420184,2574.7042539125396,0.030878655824967207
2006,4780545,2805.299920824927,2648.0801812574646,0.05937121567550319
2007,5214537,2965.428469296507,2719.167025286166,0.09056503029063635
2008,3832820,2028.187654259788,2853.400198265197,-0.28920322656005976
2009,2867690,2977.8543113098,2747.9931732156983,0.08364691016503448
2010,3564845,3927.9237119706468,2819.222634921345,0.393264818221862
2011,3547790,3647.5272817725963,3051.751321802396,0.19522428178005308
2012,2488476,2953.1877438239308,3207.1982527426007,-0.07920012699603327
2013,3314755,2711.318329710642,3226.0882437765395,-0.15956473449197872
2014,4581125,2890.365048978144,3190.8982540240977,-0.09418451518062228
2015,3220992,3097.1323812663923,3204.4657147851976,-0.033494923357605705
2016,4810250,3473.5385728392494,3260.5319495364674,0.06532879499403892
2017,4658760,3505.964301659669,3343.591344284039,0.04856244099722623
2018,5225935,3385.722721579966,3430.4615624294966,-0.013041638868515908
2019,5598828,3053.4209720320036,3457.184559017114,-0.1167897114234195
2020,5625392,2916.378763826592,3440.4166927744227,-0.15231815670712712
2021,5539530,3710.546660998316,3425.6536148092127,0.08316458060952259
